,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
0,O=S(=O)(c1cccc(-c2cn3cc(Cl)ccc3n2)c1)N1CCCCCC1,389.9080000000003,4.219400000000003,3,54.68,4,3,0,4
1,Cc1cccn2cc(-c3cccc(S(=O)(=O)N4CCCCCC4)c3)nc12,369.4900000000003,3.8744200000000024,3,54.68,4,3,0,4
2,COc1cc(-c2nn3c(-c4ccc(Cl)cc4)nnc3s2)cc(OC)c1OC,402.8630000000002,4.199000000000003,5,70.77000000000001,4,4,0,8
3,O=C(O)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,286.718,3.2818000000000014,3,54.599999999999994,3,3,1,3
4,Cc1ccc(Cl)cc1-n1ncc2c1ncn1c(-c3ccccc3O)nnc21,376.8070000000001,3.7976200000000024,2,81.13000000000001,5,5,1,7
5,Cc1[nH]c2ccc(F)cc2c(=O)c1CN1CCc2ccccc2C1,322.383,3.533920000000002,2,36.1,4,3,1,2
6,Cc1c(-c2nc(-c3ccccc3F)no2)nnn1-c1ccc(F)c(Cl)c1,373.75,4.224320000000001,3,69.63,4,4,0,6
7,Cc1ccccc1-n1ncc2c1ncn1c(-c3ccccc3O)nnc21,342.3620000000001,3.144220000000001,2,81.13000000000001,5,5,1,7
8,Cc1ccc(-c2nnc3c4cnn(-c5ccccc5Cl)c4ncn23)cc1,360.8080000000001,4.092020000000002,2,60.900000000000006,5,5,0,6
9,N#Cc1nc(-c2ccccc2F)oc1S(=O)(=O)c1ccc(Cl)cc1,362.769,3.838580000000002,3,83.96000000000001,3,3,0,5
10,N#Cc1nc(-c2ccccc2)oc1S(=O)(=O)Cc1ccc(Cl)cc1Cl,393.2510000000001,4.493980000000002,4,83.96000000000001,3,3,0,5
11,Cn1c(=O)c2c(nc3n(-c4cccc(Cl)c4)c(-c4cccc([N+](=O)[O-])c4)cn23)n(C)c1=O,450.8420000000002,2.9042000000000012,3,109.36999999999998,5,5,0,9
12,Cc1ccc(Sc2oc(-c3ccccc3F)nc2C#N)cc1,310.35300000000007,4.812000000000003,3,49.82,3,3,0,4
