,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
0,Br.O=c1[nH]oc(C2CCNCC2)c1-c1cccc([N+](=O)[O-])c1,370.20300000000003,2.588,3,101.17,3,2,2,5
1,Br.O=c1[nH]oc(C2CCNCC2)c1-c1csc(-c2ccccc2)c1,407.333,4.408300000000003,3,58.03,4,3,2,4
2,Br.CC(C)(C)c1ccc(-c2c(C3CCNCC3)o[nH]c2=O)cc1,381.3140000000001,3.9773000000000023,2,58.03,3,2,2,3
3,O=c1[nH]oc(C2CCNCC2)c1-c1cccc2ccccc12,294.354,3.2551000000000023,2,58.03,4,3,2,3
4,NC(=O)C1=CCC(N)C1,126.15899999999999,-0.4807999999999999,1,69.11,1,0,2,2
5,NC1CC=C(C(=O)O)C1,127.14299999999999,0.11849999999999955,1,63.32000000000001,1,0,2,2
6,CCCCCNC(=O)C1=CCC(N)C1,196.29399999999998,1.3402999999999998,5,55.120000000000005,1,0,2,2
7,O=P1(O)CCC(CO)C1,150.114,0.26899999999999996,1,57.53,1,0,2,2
8,CCONC(=O)C1=CCC(N)C1,170.212,0.1015999999999998,3,64.35,1,0,2,3
9,N=c1ccc(-c2cccc(OCc3ccccc3)c2)nn1CCCC(=O)O,363.41700000000014,3.473370000000001,8,88.2,3,3,2,5
10,Br.Cc1nn(O)cc1C1CCNCC1,262.151,1.47372,1,50.08,2,1,2,4
11,N=c1ccc(-c2cccc(N)c2)nn1CCCC(=O)O,272.30799999999994,1.4765700000000004,5,104.99,2,2,3,5
12,CCOC(=O)c1ncn2c1CN=C(c1ccc(F)cc1)c1cc(F)ccc1-2,367.3550000000001,3.678200000000002,3,56.48,4,3,0,5
13,CCCCP(=O)(O)C1=CCC(N)C1,203.22199999999995,2.0618999999999996,4,63.31999999999999,1,0,2,2
14,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1,415.3960000000002,5.124000000000003,1,70.72,5,4,1,5
15,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,492.7110000000004,8.015100000000007,10,49.84,6,4,2,4
16,O=c1[nH]oc(C2CCNCC2)c1Cc1ccc2ccccc2c1-c1ccccc1,384.47900000000004,4.845900000000004,4,58.03,5,4,2,3
