,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
0,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccccc1C,432.2980000000002,6.477420000000004,3,43.84,3,3,1,4
1,[O-][n+]1nc2c(-c3nc[nH]n3)cnn2c2cc(Cl)ccc21,287.67,0.9543999999999994,1,98.69999999999999,4,4,1,6
2,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,318.5010000000001,4.595200000000005,1,37.3,4,0,1,2
3,O=C(NC1CCCCC1)C1Cc2c(sc3ccccc23)CN1,314.45400000000006,3.3645000000000014,2,41.13,4,2,2,3
4,CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC,304.394,3.148320000000002,7,69.03999999999999,2,2,1,6
5,Cc1cc2c(C3CCCCC3)[nH]c(=O)nc2c(C#N)c1C,281.35900000000004,3.459320000000001,1,69.53999999999999,3,2,1,3
6,CC(=O)C1CCC2C3CCC4CC(O)(C#Cc5ccc(C=O)cc5)CCC4(C)C3CCC12C,446.6310000000003,5.829600000000006,2,54.37,5,1,1,3
7,O=C(NCCc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccccc12,326.7830000000001,3.3629000000000016,5,61.96,3,3,2,2
8,COc1ccc(CCNC(=O)C(=O)c2c[nH]c3ccccc23)cc1OC,352.3900000000001,2.726700000000001,7,80.42,3,3,2,4
9,CCCCCn1ncc2c(N)c(C(=O)NCCC)cnc21,289.383,2.3435000000000006,7,85.83,2,2,2,5
10,C#CCCCCn1ncc2c(N)c(C(=O)OCC=C)c(C)nc21,312.3730000000001,2.4682200000000005,7,83.03,2,2,1,6
11,O=c1c2cnc3ccccc3c2[nH]n1-c1ccccc1,261.284,2.867000000000001,1,50.68,4,4,1,3
12,Cc1cc2c(c(C#N)c1C)NC(=O)NC2C,215.256,2.37122,0,64.92,2,1,2,2
13,CC(C)c1cccc(C(C)C)c1OC(=O)CN1CCCC1,289.41900000000004,3.9346000000000023,5,29.54,2,1,0,3
14,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.74600000000004,3.153800000000002,1,32.67,3,2,0,2
15,Cc1cc2c(c(C#N)c1C)N=CNC2C1CCCCC1,267.376,4.059520000000003,1,48.18,3,1,1,3
16,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)c(OC)c1,478.32300000000015,6.186200000000003,5,62.3,3,3,1,6
17,N#Cc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1,340.39000000000016,3.416380000000002,2,70.11,5,4,0,6
18,CCCC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C,281.359,3.599920000000002,3,60.910000000000004,3,3,1,4
19,CC(=O)Oc1cccc(C(C)n2cnc3c(=O)[nH]cnc32)c1,298.302,1.6542,3,89.87,3,3,1,6
20,CN=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1,299.761,3.1415000000000006,1,50.46,3,2,1,2
21,Cc1cc2c(C)ncnc2c(C#N)c1C,197.24099999999999,2.4267400000000006,0,49.57,2,2,0,3
22,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1,286.36,3.587220000000001,2,58.95,3,3,2,4
23,O=C(NC=NO)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12,306.66900000000004,0.31660000000000094,2,118.82,3,3,2,7
24,O=C(NCCc1ccc(O)cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12,353.3340000000001,2.3232999999999997,6,125.33000000000001,3,3,3,5
25,O=[PH]1(=O)CCC(CO)C1,150.114,0.43949999999999995,1,54.370000000000005,1,0,1,3
26,On1cc(C2CCNCC2)c(-c2c[nH]c(-c3ccccc3)n2)n1,309.37300000000005,2.6445000000000007,3,78.76,4,3,3,5
27,CCCCn1ncc2c(N)c(C(=O)OCC)c(C)nc21,276.3399999999999,2.2987200000000003,5,83.03,2,2,1,6
28,COCCN(CCOC)c1nn2c(-c3ccc(N(C)C)cc3)nnc2c2ccccc12,420.51700000000017,3.109700000000001,9,68.02000000000001,4,4,0,8
29,NCC(CC(=O)O)c1ccc(Cl)cc1,213.664,1.857,4,63.32000000000001,1,1,2,2
30,CCOC(=O)c1cc2c(cn1)[nH]c1ccc(OCc3ccccc3)cc12,346.3860000000001,4.471800000000003,5,64.21,4,4,1,4
31,Cc1nc(-c2cnn3c2n[n+]([O-])c2ccc(Cl)cc23)nn1C,315.72400000000005,1.2732199999999998,1,87.84,4,4,0,7
32,CCONC(=O)C1=CCC(N)C1,170.212,0.1015999999999998,3,64.35,1,0,2,3
33,CN(C)N=Nc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2,384.4400000000001,2.9735000000000014,3,92.39000000000001,3,2,0,7
34,C1=NC(c2ccccc2)c2ccccc2-c2[nH]nnc21,260.3,2.9936000000000007,1,53.93,4,3,1,3
35,O=C(N1CCOCC1)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccc(F)cc21,410.4090000000001,2.711000000000001,2,89.52000000000001,6,3,0,7
36,CC(C)(C)OC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21,379.42,4.054800000000003,2,86.28,5,3,0,7
37,NNC(=O)c1ccncc1,137.142,-0.3149000000000006,1,68.00999999999999,1,1,2,3
38,C=CCOC(=O)c1c(C)nc2c(cnn2CCC2CC2)c1N,300.3620000000001,2.46482,6,83.03,3,2,1,6
39,CN(C)C(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21,350.38200000000006,2.8013000000000012,2,80.29000000000002,5,3,0,6
40,CC(=NC(=O)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12)N(C)C,332.7510000000001,1.2894999999999999,1,89.8,3,3,0,5
41,Cc1cccc2c1N(C(=O)N1CCOCC1)Cc1c(-c3noc(C4CC4)n3)ncn1-2,406.44600000000014,2.880320000000001,2,89.52000000000001,6,3,0,7
42,Brc1ccccc1-c1nnc2c3ccccc3c(N3CCCC3)nn12,394.27600000000024,4.3072000000000035,2,46.32000000000001,5,4,0,5
43,O=C(c1ccccc1)c1cn2c(n1)sc1ccccc12,278.336,3.780000000000002,2,34.370000000000005,4,4,0,4
44,CC1CCc2nc3c(c(N)c2C1=O)c1c(n3C)CCCC1,283.375,2.7993000000000015,0,60.91,4,2,1,4
45,CN(C)C(=O)N1c2cc(Cl)ccc2-n2cnc(-c3noc(C4CC4)n3)c2C1(C)C,412.88100000000026,4.189800000000003,2,80.29,5,3,0,6
46,CCCC(=O)c1cn2c(cc(OC)c3cc(CC)ccc32)n1,296.37,4.041300000000003,5,43.6,3,3,0,4
47,N#[N+]c1ccc(S(=O)(=O)[O-])cc1,184.176,1.0752800000000002,1,85.35,1,1,0,4
48,CCSc1ccc(-c2ccccn2)c2c1C(=O)CC(C)C2,297.42300000000006,4.625600000000004,3,29.96,3,2,0,3
49,COc1nc(CSc2ccc(-c3nccs3)c3c2C(=O)CC(C)C3)ns1,403.55400000000026,4.727500000000003,5,64.97,4,3,0,8
50,O=C(NCc1ccc([N+](=O)[O-])cc1)C(=O)c1c[nH]c2ccccc12,323.30800000000005,2.5752000000000006,5,105.1,3,3,2,4
51,COC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21,337.33900000000006,2.8861000000000017,2,86.28,5,3,0,7
52,O=c1c(-c2ccsc2)c[nH]c2c(-c3cccc(F)c3)cnn12,311.341,3.5572000000000017,2,50.16,4,4,1,4
53,COc1ccc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1,353.3340000000001,2.5838,6,114.33000000000001,3,3,2,5
54,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1CC,374.4400000000001,5.034200000000004,6,64.21,4,4,1,4
55,[N-]=[N+]=C1C=CC(=O)C=C1,120.11099999999998,0.35229999999999995,0,53.470000000000006,1,0,0,1
56,NCc1ccc[n+]([O-])c1,124.14299999999997,-0.22130000000000005,1,52.959999999999994,1,1,1,2
57,CC(N)Cn1ncc2ccc(O)cc21,191.23399999999998,1.0890999999999997,2,64.07000000000001,2,2,2,4
58,CN1C(=O)C(NC(=O)c2ccc(Br)cc2)N=C(c2ccccc2)c2ccccc21,448.32000000000016,4.019000000000003,3,61.77,4,3,1,3
59,COC(=O)c1c(C)nc2sc3c(c2c1N)CCCC3,276.36100000000005,2.8523200000000015,1,65.21,3,2,1,5
60,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc2c(c1)OCO2,462.28000000000026,5.897700000000003,3,62.30000000000001,4,3,1,6
61,CN1C(=O)C(N)N=C(c2ccccc2)c2ccccc21,265.3160000000001,1.7851999999999997,1,58.69,3,2,1,3
62,O=C(NCCc1c[nH]c2ccccc12)C(=O)c1c[nH]c2ccccc12,331.37500000000006,3.1908000000000003,5,77.75,4,4,3,2
63,CN(C)C(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2cccc(Cl)c21,384.82700000000006,3.4547000000000025,2,80.29000000000002,5,3,0,6
64,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.5120000000001,2.0881999999999996,6,69.64000000000001,4,1,0,6
65,O=C(NCCCc1ccccc1)C(=O)c1c[nH]c2ccccc12,306.36500000000007,3.0996000000000015,6,61.96,3,3,2,2
66,O=C(NCc1cccc(O)c1)C(=O)c1c[nH]c2ccccc12,294.31,2.3726000000000003,4,82.19,3,3,3,3
67,O=c1oc2ccccc2c2c1cc(-c1ccccc1)n2-c1ccccc1,337.37800000000004,5.403900000000005,2,35.14,5,5,0,3
68,Cc1cccc(-n2nnc3c(=O)oc4ccccc4c32)c1,277.283,2.835320000000001,1,60.92,4,4,0,5
69,CC(=O)Nc1cc(F)ccc1Oc1ccccc1,245.25300000000001,3.5764000000000014,3,38.33,2,2,1,2
70,O=C(NCCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Br)cc12,403.2320000000001,2.8832000000000013,5,102.41999999999999,3,3,4,4
71,CCOC(=O)C(Cc1ccc(O)cc1)NC(=O)C(=O)c1c[nH]c2ccc(Cl)cc12,414.8450000000001,3.0002000000000004,7,108.48999999999998,3,3,3,5
72,CN(C)Cc1ccc2c(c1)NC(=O)N(C)S2(=O)=O,269.326,0.9142000000000001,2,69.72,2,1,1,4
73,CCCCc1ccc(C2=NN(S(=O)(=O)c3ccc(-c4ccc5ccccc5c4)cc3)CCC2)cc1,482.6490000000002,7.038200000000007,7,49.74,5,4,0,3
74,CC(NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12)c1ccccc1,337.33500000000004,3.1362000000000014,5,105.1,3,3,2,4
75,NCC(CC(=O)O)c1cc(Br)cs1,264.14399999999995,2.0276,4,63.32000000000001,1,1,2,3
76,CC1CCc2nc3sc4c(c3c(N)c2C1=O)CCCCC4,300.42700000000013,3.9124000000000025,0,55.98,4,2,1,4
77,CCOC(=O)c1c(C)nc2c(cnn2CCC(C)C)c1N,290.367,2.54472,5,83.03,2,2,1,6
78,On1ncc(C2CCNCC2)c1-c1cn(Cc2ccccc2)c(-c2ccccc2)n1,399.49800000000005,4.1662000000000035,5,67.9,5,4,2,6
79,O=c1c2cnc3ccc(OCc4ccccc4)cc3c2[nH]n1-c1ccccc1,367.408,4.446000000000002,4,59.91,5,5,1,4
80,COc1cc(C)cc(OC)c1OC(=O)C(CCS(C)(=O)=O)N1C=CCCC1,397.49300000000017,2.33042,8,82.14,2,1,0,7
81,CCOc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCCCC2,335.40700000000027,3.627900000000002,4,56.49000000000001,4,3,0,5
82,NCCCC(=O)O,103.12099999999998,-0.19009999999999977,3,63.32000000000001,0,0,2,2
83,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,341.84200000000004,4.413200000000004,5,37.61,3,3,0,3
84,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2,337.379,2.3945000000000007,1,64.43,3,2,0,5
85,Cc1cccc(C(NC(=O)CNC(=O)c2ccc(F)cc2)c2ccccc2)c1,376.43100000000004,3.769720000000002,6,58.2,3,3,2,2
86,O=C(NCc1ccccc1F)C(=O)c1c[nH]c2ccc(Cl)cc12,330.74600000000004,3.459500000000001,4,61.96,3,3,2,2
87,O=C(NCc1ccccc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12,323.30800000000005,2.5752000000000006,5,105.1,3,3,2,4
88,CC(C)OC(=O)c1cn2c(n1)sc1ccccc12,260.31800000000004,3.114200000000002,2,43.6,3,3,0,5
89,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)cc1OC,478.32300000000015,6.186200000000003,5,62.3,3,3,1,6
90,CCCc1cc(OC)nc2nc(C(=O)c3ccccc3)cn12,295.342,2.921400000000001,5,56.49000000000001,3,3,0,5
91,CCOC(=O)c1c(C)nc2c(cnn2CC)c1N,248.28599999999997,1.5185199999999999,3,83.03,2,2,1,6
92,Cn1cc(C(=O)C(=O)NCc2ccc(Cl)cc2)c2ccccc21,326.7830000000001,3.3308000000000018,4,51.1,3,3,1,3
