,SMILES
0,COc1ccccc1-c1oc2ccc(C)cc2c(=O)c1O
1,Clc1ccc(-n2nc3c4c(ncc3c2OCc2ccccc2Cl)CCOC4)cc1
2,CC(=O)Nc1cccc(Nc2cc3c(cn2)ncn3CC2CC2)c1
3,CC(NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12)c1ccccc1
4,NCCCC(=O)O
5,CC1(CC(=O)O)CSC(=N)N1
6,N=C1NC(CC(=O)O)CS1
7,CC1SC(=N)NC1CC(=O)O
8,O=C(O)CC1CCNC1
9,CC(C(=O)O)C1CSC(=N)N1
10,C#Cc1ccc2c(c1)C(c1ccccc1F)=NCc1c(C(=O)NC)ncn1-2
11,CP(=O)(O)C1(O)CC(N)C1
12,CP(=O)(O)C1CC(N)C1
13,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1
14,CCCCNC(=O)c1cc(-c2ccc(F)cc2F)ccc1O
15,NCc1cn(O)nc1-c1ccc(-c2ccccc2)cc1
16,COC(c1ccc(C(C)=O)cc1)C(F)(F)C(=O)C12CC3CC(CC(C3)C1)C2
17,CCCC=CC(O)C(F)(F)C(=O)c1ccc(Cl)cc1
18,CC(=O)c1ccc(C(O)C(F)(F)C(=O)C23CC4CC(CC(C4)C2)C3)cc1
19,NCc1cnn(O)c1
20,O=C(Nc1c(-c2cccs2)nc2c(Br)cc(Br)cn12)c1ccc(Cl)cc1
21,Cc1ccc2c(c1)Oc1sc(Cl)cc1C(N1CCN(CC(C)(C)C(=O)O)CC1)=N2
22,O=C(Nc1c(-c2cccs2)nc2ccccn12)c1ccc(Cl)cc1
23,Clc1ccc(COc2c3cnc4c(c3nn2-c2ccc(Cl)cc2)CCCC4)cc1
24,Fc1ccc(COc2c3cnc4c(c3nn2-c2ccc(Cl)cc2)CCCC4)cc1
25,Fc1ccccc1COc1c2cnc3c(c2nn1-c1ccc(Cl)cc1)CCCC3
26,Fc1ccccc1-n1nc2c(cnc3ccccc32)c1OCc1ccccc1Cl
27,O=C(NCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccccc12
28,O=C(O)C1=CCNCC1
29,C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(-c3nc(C(C)C)no3)ncn1-2
30,C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(C(=O)NC)ncn1-2
31,C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(C(=O)NC)ncn1-2
32,O=c1cc(C2CCNCC2)o[nH]1
33,Oc1ccccc1
34,CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C
35,Oc1ccc2c(c1)CCN(CCCCc1ccccc1)CC2O
36,CCOC(=O)c1cncn1C(C)c1ccccc1
37,Cc1cc(-c2nnc3c4ccccc4c(OCc4ccccn4)nn23)no1
38,OC(c1ccc(F)c(Cl)c1)(c1ccc2c(cnn2-c2ccc(F)cc2)c1)C(F)(F)F
39,CC(C)(C)OC(=O)c1cc2c(cn1)[nH]c1ccccc12
40,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
41,CCOC(=O)c1cncn1C(C)c1ccc(C2(C(F)(F)F)N=N2)cc1
42,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(NC(=O)CCCC(=O)O)cccn12
43,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)c([N+](=O)[O-])c2)nc2c(Cl)cc(Cl)cn12
44,Cc1ccc2c(c1)-c1nc(Cc3cc(C)no3)nn1Cc1c(C)ncn1-2
45,CC(C)c1cc(CCCC2(C)N=N2)cc(C(C)C)c1O
46,CCCN(CCC)C(=O)Cc1c(-c2ccc([N+](=O)[O-])cc2)nc2c(Cl)cc(Cl)cn12
47,CCCN(CCC)C(=O)Cc1c(-c2ccc(O)cc2)nc2c(Cl)cc(Cl)cn12
48,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)c(N)c2)nc2c(Cl)cc(Cl)cn12
49,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)c([N+](=O)[O-])c2)nc2c(Cl)cccn12
50,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)c(N)c2)nc2c(Cl)cccn12
51,CC(C)(O)C(=O)c1oc2nc(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)cc2c1NC(=O)CO
52,CC(C)(O)C(=O)c1oc2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc2c1NC(=O)CO
53,Clc1ccc(-n2nc3c4c(ncc3c2OCc2ccccc2Cl)CCCC4)cc1
54,NCc1cn(O)nc1Cc1ccccc1
55,NCc1cnn(O)c1Br
56,O=c1[nH]oc2c1CCNC2
57,NCc1cn(O)nc1-c1ccccc1
58,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)c(N)c2)nc2c(Cl)cc(Cl)cn12
