,SMILES
0,O=c1[nH]oc(C2CCNCC2)c1-c1cccc2ccccc12
1,NC(=O)C1=CCC(N)C1
2,NC1CC=C(C(=O)O)C1
3,CCCCCNC(=O)C1=CCC(N)C1
4,O=P1(O)CCC(CO)C1
5,CCONC(=O)C1=CCC(N)C1
6,N=c1ccc(-c2cccc(OCc3ccccc3)c2)nn1CCCC(=O)O
7,N=c1ccc(-c2cccc(N)c2)nn1CCCC(=O)O
8,CCOC(=O)c1ncn2c1CN=C(c1ccc(F)cc1)c1cc(F)ccc1-2
9,CCCCP(=O)(O)C1=CCC(N)C1
10,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1
11,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
12,O=c1[nH]oc(C2CCNCC2)c1Cc1ccc2ccccc2c1-c1ccccc1
13,O=c1[nH]oc(C2CCNCC2)c1C(Br)c1ccc2ccccc2c1
14,Cc1ccc2c(c1)Oc1sc(Cl)cc1C(N1CCN(CC(C)(C)C(=O)O)CC1)=N2
15,CCCC(O)CCC=CC=CC#CC#CC=CCO
16,CCCCP(=O)(O)C1=CCC(NC(=O)CCCCCNc2ccc([N+](=O)[O-])c3nonc23)C1
17,COc1ccc2cnc3c(C(=O)NCc4ccccc4OC)cnn3c2c1
18,O=c1[nH]oc(C2CCNCC2)c1Cc1ccc2ccccc2c1Br
19,O=c1[nH]oc(C2CCNCC2)c1-c1ccccc1
20,CC(C(=O)O)C1CSC(=N)N1
21,COc1ccc(S(=O)(=O)Nc2c(C)cc(C)cc2C)cc1
22,O=C(O)C1CCP(=O)(O)C1
23,CCCNC(=O)C1=CCC(N)C1
24,CONC(=O)C1=CCC(N)C1
25,NC1CC=C(C(O)=NO)C1
26,CCOC(=O)c1ncn2c1CN=C(c1ccc(Cl)cc1)c1ccccc1-2
27,CN1C(=O)C2CN(S(=O)(=O)c3ccc4occc4c3)CC2c2cnccc21
28,N=C(N)NC1CCP(=O)(O)C1
29,NC1CCP(=O)(O)C1
30,N=c1ccc(-c2ccc(O)cc2)nn1CCCC(=O)O
31,COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1
32,N=c1ccc(-c2ccccc2)nn1CCCC(=O)O
33,N=c1ccc(-c2cccc([N+](=O)[O-])c2)nn1CCCC(=O)O
34,O=c1[nH]oc(C2CCNCC2)c1-c1cccc(-c2ccccc2)c1
35,On1cc(C2CCNCC2)c(-c2cn(Cc3ccccc3)c(-c3ccccc3)n2)n1
36,On1cc(C2CCNCC2)cn1
37,CP(=O)(O)C1=CCNCC1
38,CN(C)C(=O)Cc1c(-c2ccc(F)cc2)nc2ccc(F)cn12
39,Cc1ccc2nc(-c3ccc(F)cc3)c(CC(=O)N(C)C)n2c1
40,CN1C(=O)C2CN(S(=O)(=O)c3ccc4c(c3)OCO4)CC2c2cnccc21
41,On1ncc(C2CCNCC2)c1-c1cn(Cc2ccccc2)c(-c2ccccc2)n1
42,CCCC(O)CCC=CC=CC#CC#CCCCO
43,On1cc(C2CCNCC2)c(-c2c[nH]c(-c3ccccc3)n2)n1
44,O=c1[nH]oc(C2CCNCC2)c1Cc1ccc2ccccc2c1
45,COc1ccc2c(c1)-n1ncc(C(=O)NCc3ccccc3)c1NC2
46,N=c1ccc(-c2cccc(O)c2)nn1CCCC(=O)O
47,O=c1[nH]oc(C2CCNCC2)c1-c1ccc2ccccc2c1
48,O=S(=O)(O)C1CCNCC1
49,CCOC(=O)c1ncn2c1CN=C(c1cccc([N+](=O)[O-])c1)c1cc(F)ccc1-2
50,CCOC(=O)c1ncn2c1CN=C(c1ccc(C)cc1)c1ccccc1-2
51,On1cc(C2CCNCC2)c(-c2c[nH]cn2)n1
52,On1cc(C2CCNCC2)c(-c2cccc(-c3ccccc3)c2)n1
53,N=c1ccc(-c2cccc(Cl)c2)nn1CCCC(=O)O
54,On1ncc(C2CCNCC2)c1-c1cn(Cc2ccccc2)c(Cl)n1
55,Cc1ccc(NC(=O)C2=CCC(N)C2)cc1
56,COc1ccc2c(c1)-n1ncc(C(N)=O)c1NC2
57,On1ncc(C2CCNCC2)c1-c1c[nH]c(-c2ccccc2)n1
58,On1ncc(C2CCNCC2)c1-c1c[nH]cn1
59,CCCCP(=O)(O)C1=CCC(NC(=O)CCCCCNC(=O)c2ccccc2NC)C1
60,COc1ccc2cnc3c(C(=O)NCC4CCCCC4)cnn3c2c1
61,COc1ccc2cnc3c(C(=O)OCc4ccccc4OC)cnn3c2c1
62,NCC1CCP(=O)(O)C1
63,N=c1ccc(-c2ccc([N+](=O)[O-])cc2)nn1CCCC(=O)O
64,CP(=O)(O)OCCN
65,CCCCP(=O)(O)CCCN
66,On1cc(C2CCNCC2)c(-c2cn(Cc3ccccc3)cn2)n1
67,COc1ccc2c(c1)-n1ncc(C(=O)NCC3CCCCC3)c1NC2
68,CCCCP(=O)(O)C1=CCC(NC(=O)CCCCCNC(=O)CCCCC2SCC3NC(=O)NC32)C1
69,CN1CCc2cc3c(cc2C1C1OC(=O)c2c1ccc1c2OCO1)OCO3
70,COc1ccc2cnc3c(C(=O)NCc4ccccc4)cnn3c2c1
71,COc1ccc2c(c1)-n1ncc(C(=O)NCc3ccccc3OC)c1NC2
72,CCOC(=O)C1(C#N)C(c2ccccc2)Cc2c(c3ccccc3n2C(=O)OC(C)(C)C)C1CC=O
73,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
74,C=CCONC(=O)C1=CCC(N)C1
75,COc1ccc2c(c1)-n1ncc(C(=O)NC3CCCCC3)c1NC2
76,CC1(C)CC(=O)c2c(SCCO)sc(-c3nccs3)c2C1
77,CCCCCSc1nnc(COc2ccc3c(c2)CCC(=O)N3)o1
78,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
79,CCCCP(=O)(O)C1=CCC(NC(=O)CCCCCNC(=O)CCC2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)C1
80,COc1ccc2c(c1)-n1ncc(C(=O)NC(C)C)c1NC2
81,On1cc(C2CCNCC2)c(-c2cn(Cc3ccccc3)c(Cl)n2)n1
82,O=c1cc(C2CCNCC2)o[nH]1
83,CC1(CC(=O)O)CSC(=N)N1
84,Cc1ccc(-c2nc3ccc(F)cn3c2CC(=O)N(C)C)cc1
85,CNC(=O)C1=CCC(N)C1
86,Cc1ccc2c(c1)c1c3n2CCNC3CCC1
87,CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O
88,N=c1ccc(-c2ccc(Cl)cc2)nn1CCCC(=O)O
89,N=c1ccc(-c2ccc(OCc3ccccc3)cc2)nn1CCCC(=O)O
90,On1ncc(C2CCNCC2)c1-c1cccc(-c2ccccc2)c1
91,CC1SC(=N)NC1CC(=O)O
92,COc1ccc2cnc3c(C(=O)NC(C)C)cnn3c2c1
93,COc1ccc2cnc3c(C(N)=O)cnn3c2c1
94,CCOC(=O)C1(C#N)C(c2ccccc2)Cc2c(c3ccccc3n2Cc2ccccc2)C1CC=O
