,SMILES
0,Cc1cc(-c2nncc3c(C(C)(C)C)c(OCc4ncnn4C)nn23)no1
1,CC(C)(C)C(=O)NCCCC(=O)O
2,Cc1cc(C2=NOC(c3cc(Cl)c(Cl)c(Cl)c3)(C(F)(F)F)C2)sc1C(=O)NCC(=O)NCC(F)(F)F
3,CC1=NN=C(c2cc3c(F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1
4,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
5,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
6,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C
7,CN1CCc2cc3c(cc2C1C1OC(=O)c2c1ccc1c2OCO1)OCO3
8,COc1c(OC2OC(CO)C(O)C(O)C2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2
9,O=C1C=C2C=CC3CC2(O1)C1CCCCN31
10,CCN1CC2(C)CCC(O)C34C1C(CC23)C12CC(=C(C)C1O)C(=O)CC24
11,O=c1cc(-c2ccccc2O)oc2ccc(O)cc12
12,O=Cc1ccc(O)cc1
