,SMILES
0,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccccc1C
1,[O-][n+]1nc2c(-c3nc[nH]n3)cnn2c2cc(Cl)ccc21
2,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
3,O=C(NC1CCCCC1)C1Cc2c(sc3ccccc23)CN1
4,CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC
5,Cc1cc2c(C3CCCCC3)[nH]c(=O)nc2c(C#N)c1C
6,CC(=O)C1CCC2C3CCC4CC(O)(C#Cc5ccc(C=O)cc5)CCC4(C)C3CCC12C
7,O=C(NCCc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccccc12
8,COc1ccc(CCNC(=O)C(=O)c2c[nH]c3ccccc23)cc1OC
9,CCCCCn1ncc2c(N)c(C(=O)NCCC)cnc21
10,C#CCCCCn1ncc2c(N)c(C(=O)OCC=C)c(C)nc21
11,O=c1c2cnc3ccccc3c2[nH]n1-c1ccccc1
12,Cc1cc2c(c(C#N)c1C)NC(=O)NC2C
13,CC(C)c1cccc(C(C)C)c1OC(=O)CN1CCCC1
14,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
15,Cc1cc2c(c(C#N)c1C)N=CNC2C1CCCCC1
16,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)c(OC)c1
17,N#Cc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1
18,CCCC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C
19,CC(=O)Oc1cccc(C(C)n2cnc3c(=O)[nH]cnc32)c1
20,CN=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1
21,Cc1cc2c(C)ncnc2c(C#N)c1C
22,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1
23,O=C(NC=NO)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12
24,O=C(NCCc1ccc(O)cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
25,O=[PH]1(=O)CCC(CO)C1
26,On1cc(C2CCNCC2)c(-c2c[nH]c(-c3ccccc3)n2)n1
27,CCCCn1ncc2c(N)c(C(=O)OCC)c(C)nc21
28,COCCN(CCOC)c1nn2c(-c3ccc(N(C)C)cc3)nnc2c2ccccc12
29,NCC(CC(=O)O)c1ccc(Cl)cc1
30,CCOC(=O)c1cc2c(cn1)[nH]c1ccc(OCc3ccccc3)cc12
31,Cc1nc(-c2cnn3c2n[n+]([O-])c2ccc(Cl)cc23)nn1C
32,CCONC(=O)C1=CCC(N)C1
33,CN(C)N=Nc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2
34,C1=NC(c2ccccc2)c2ccccc2-c2[nH]nnc21
35,O=C(N1CCOCC1)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccc(F)cc21
36,CC(C)(C)OC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
37,NNC(=O)c1ccncc1
38,C=CCOC(=O)c1c(C)nc2c(cnn2CCC2CC2)c1N
39,CN(C)C(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
40,CC(=NC(=O)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12)N(C)C
41,Cc1cccc2c1N(C(=O)N1CCOCC1)Cc1c(-c3noc(C4CC4)n3)ncn1-2
42,Brc1ccccc1-c1nnc2c3ccccc3c(N3CCCC3)nn12
43,O=C(c1ccccc1)c1cn2c(n1)sc1ccccc12
44,CC1CCc2nc3c(c(N)c2C1=O)c1c(n3C)CCCC1
45,CN(C)C(=O)N1c2cc(Cl)ccc2-n2cnc(-c3noc(C4CC4)n3)c2C1(C)C
46,CCCC(=O)c1cn2c(cc(OC)c3cc(CC)ccc32)n1
47,N#[N+]c1ccc(S(=O)(=O)[O-])cc1
48,CCSc1ccc(-c2ccccn2)c2c1C(=O)CC(C)C2
49,COc1nc(CSc2ccc(-c3nccs3)c3c2C(=O)CC(C)C3)ns1
50,O=C(NCc1ccc([N+](=O)[O-])cc1)C(=O)c1c[nH]c2ccccc12
51,COC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
52,O=c1c(-c2ccsc2)c[nH]c2c(-c3cccc(F)c3)cnn12
53,COc1ccc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1
