smiles,target
O=S(=O)(c1cccc(-c2cn3cc(Cl)ccc3n2)c1)N1CCCCCC1,1
Cc1cccn2cc(-c3cccc(S(=O)(=O)N4CCCCCC4)c3)nc12,1
COc1cc(-c2nn3c(-c4ccc(Cl)cc4)nnc3s2)cc(OC)c1OC,1
O=C(O)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,1
Cc1ccc(Cl)cc1-n1ncc2c1ncn1c(-c3ccccc3O)nnc21,1
Cc1[nH]c2ccc(F)cc2c(=O)c1CN1CCc2ccccc2C1,1
Cc1c(-c2nc(-c3ccccc3F)no2)nnn1-c1ccc(F)c(Cl)c1,1
Cc1ccccc1-n1ncc2c1ncn1c(-c3ccccc3O)nnc21,1
Cc1ccc(-c2nnc3c4cnn(-c5ccccc5Cl)c4ncn23)cc1,1
N#Cc1nc(-c2ccccc2F)oc1S(=O)(=O)c1ccc(Cl)cc1,1
N#Cc1nc(-c2ccccc2)oc1S(=O)(=O)Cc1ccc(Cl)cc1Cl,1
Cn1c(=O)c2c(nc3n(-c4cccc(Cl)c4)c(-c4cccc([N+](=O)[O-])c4)cn23)n(C)c1=O,1
Cc1ccc(Sc2oc(-c3ccccc3F)nc2C#N)cc1,1
Cc1ccc(-n2ncc3c2ncn2c(-c4ccccc4Cl)nnc32)c(C)c1,1
Cc1c(-c2nc(-c3ccccc3F)no2)nnn1-c1ccc(Br)cc1,1
Oc1cc2ccccc2cc1-c1nnc2c3cnn(-c4ccc(F)cc4)c3ncn12,1
Cc1ccc(S(=O)(=O)c2oc(-c3ccccc3F)nc2C#N)cc1,1
COc1ccc(-c2nnc3c4cnn(-c5ccc(Cl)cc5)c4ncn23)cc1OC,1
CCN1CCN(C(=O)c2cc(-c3ccccc3)nc3c2c(C)nn3C)CC1,1
Cc1ccc(-c2nc3c(C)cccn3c2CC(=O)O)cc1C,1
CCOC(=O)c1c(N)n(-c2ccc(C)c(Cl)c2)c2nc3ccccc3nc12,1
CCOc1ccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2ccc(F)cc2)cc1Cl,1
O=C(O)c1cc(-c2ccccc2)[nH]c(=O)n1,1
Clc1cccc(-n2ncc3c(N4CCN(Cc5ccccc5)CC4)ncnc32)c1,1
CC(C)OCCCNc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,1
Clc1ccc2nc(CSc3nnnn3-c3ccccc3)c(Br)n2c1,1
