Molecule ChEMBL ID,SMILES
CHEMBL4446619,COc1ccccc1-c1oc2ccc(C)cc2c(=O)c1O
CHEMBL1681891,Clc1ccc(-n2nc3c4c(ncc3c2OCc2ccccc2Cl)CCOC4)cc1
CHEMBL4585261,CC(=O)Nc1cccc(Nc2cc3c(cn2)ncn3CC2CC2)c1
CHEMBL75456,C[C@@H](NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12)c1ccccc1
CHEMBL96,NCCCC(=O)O
CHEMBL4566832,CC1(CC(=O)O)CSC(N)=N1
CHEMBL4554798,NC1=N[C@@H](CC(=O)O)CS1
CHEMBL4471977,C[C@H]1SC(N)=N[C@@H]1CC(=O)O
CHEMBL349005,O=C(O)C[C@@H]1CCNC1
CHEMBL4464494,CC(C(=O)O)C1CSC(N)=N1
CHEMBL4442696,C[C@@H](C(=O)O)[C@@H]1CSC(N)=N1
CHEMBL4586460,C[C@@H]1SC(N)=N[C@@H]1CC(=O)O
CHEMBL2332217,C#Cc1ccc2c(c1)C(c1ccccc1F)=NCc1c(C(=O)NC)ncn1-2
CHEMBL449007,CP(=O)(O)[C@]1(O)C[C@@H](N)C1
CHEMBL451118,CP(=O)(O)[C@H]1C[C@@H](N)C1
CHEMBL481537,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1
CHEMBL4547372,NC1=N[C@H](CC(=O)O)CS1
CHEMBL4229086,CCCCNC(=O)c1cc(-c2ccc(F)cc2F)ccc1O
CHEMBL2315226,NCc1cn(O)nc1-c1ccc(-c2ccccc2)cc1
CHEMBL2322937,COC(c1ccc(C(C)=O)cc1)C(F)(F)C(=O)C12CC3CC(CC(C3)C1)C2
CHEMBL2322943,CCC/C=C/C(O)C(F)(F)C(=O)c1ccc(Cl)cc1
CHEMBL2322934,CC(=O)c1ccc(C(O)C(F)(F)C(=O)C23CC4CC(CC(C4)C2)C3)cc1
CHEMBL2315213,NCc1cnn(O)c1
CHEMBL4213357,O=C(Nc1c(-c2cccs2)nc2c(Br)cc(Br)cn12)c1ccc(Cl)cc1
CHEMBL3899169,Cc1ccc2c(c1)Oc1sc(Cl)cc1C(N1CCN(CC(C)(C)C(=O)O)CC1)=N2
CHEMBL4212818,O=C(Nc1c(-c2cccs2)nc2ccccn12)c1ccc(Cl)cc1
CHEMBL1681894,Clc1ccc(COc2c3cnc4c(c3nn2-c2ccc(Cl)cc2)CCCC4)cc1
CHEMBL1681897,Fc1ccc(COc2c3cnc4c(c3nn2-c2ccc(Cl)cc2)CCCC4)cc1
CHEMBL1681895,Fc1ccccc1COc1c2cnc3c(c2nn1-c1ccc(Cl)cc1)CCCC3
CHEMBL1681887,Fc1ccccc1-n1nc2c(cnc3ccccc32)c1OCc1ccccc1Cl
CHEMBL358763,O=C(NCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccccc12
CHEMBL39071,O=C(O)C1=CCNCC1
CHEMBL2332219,C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(-c3nc(C(C)C)no3)ncn1-2
CHEMBL2332215,C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(C(=O)NC)ncn1-2
CHEMBL2332216,C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(C(=O)NC)ncn1-2
CHEMBL311761,Oc1cc(C2CCNCC2)on1
CHEMBL14060,Oc1ccccc1
CHEMBL1271047,CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C
CHEMBL1289626,Oc1ccc2c(c1)CCN(CCCCc1ccccc1)CC2O
CHEMBL681,CCOC(=O)c1cncn1[C@H](C)c1ccccc1
CHEMBL68684,Cc1cc(-c2nnc3c4ccccc4c(OCc4ccccn4)nn23)no1
CHEMBL1094231,OC(c1ccc(F)c(Cl)c1)(c1ccc2c(cnn2-c2ccc(F)cc2)c1)C(F)(F)F
CHEMBL307783,CC(C)(C)OC(=O)c1cc2c3ccccc3nc-2c[nH]1
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
CHEMBL1270457,CCOC(=O)c1cncn1[C@@H](C)c1ccc(C2(C(F)(F)F)N=N2)cc1
CHEMBL520652,CCCN(CCC)C(=O)Cc1c(-c2ccc(N)cc2)nc2c(Cl)cc(Cl)cn12.Cl
CHEMBL484758,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(NC(=O)CCCC(=O)O)cccn12
CHEMBL485217,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)c([N+](=O)[O-])c2)nc2c(Cl)cc(Cl)cn12
CHEMBL1081140,Cc1ccc2c(c1)-c1nc(Cc3cc(C)no3)nn1Cc1c(C)ncn1-2
CHEMBL2165414,CC(C)c1cc(CCCC2(C)N=N2)cc(C(C)C)c1O
CHEMBL520465,CCCN(CCC)C(=O)Cc1c(-c2ccc([N+](=O)[O-])cc2)nc2c(Cl)cc(Cl)cn12
CHEMBL484573,CCCN(CCC)C(=O)Cc1c(-c2ccc(O)cc2)nc2c(Cl)cc(Cl)cn12
CHEMBL483383,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)c(N)c2)nc2c(Cl)cc(Cl)cn12
CHEMBL485435,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(NC(=O)CN)cccn12.Cl
CHEMBL485218,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)c([N+](=O)[O-])c2)nc2c(Cl)cccn12
CHEMBL520847,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)c(N)c2)nc2c(Cl)cccn12
CHEMBL456576,Cl.Sc1nnc(C2CCNCC2)o1
CHEMBL454608,Cl.NCc1nnc(O)o1
CHEMBL1092169,CC(C)(O)C(=O)c1oc2nc(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)cc2c1NC(=O)CO
CHEMBL1084038,CC(C)(O)C(=O)c1oc2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc2c1NC(=O)CO
CHEMBL1681889,Clc1ccc(-n2nc3c4c(ncc3c2OCc2ccccc2Cl)CCCC4)cc1
CHEMBL2315223,NCc1cn(O)nc1Cc1ccccc1
CHEMBL2315215,NCc1cnn(O)c1Br
CHEMBL312443,Oc1noc2c1CCNC2
CHEMBL2315222,NCc1cn(O)nc1-c1ccccc1
CHEMBL485219,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)c(N)c2)nc2c(Cl)cc(Cl)cn12
CHEMBL71460,Nc1nc(CC(=O)O)cs1
CHEMBL3322870,Cc1nc(N)ccc1C(=O)O
CHEMBL3322873,Nc1ccc(C(=O)O)c(-c2ccccc2)n1
CHEMBL526,CC(C)c1cccc(C(C)C)c1O
CHEMBL509917,CCCN(CCC)C(=O)Cc1c(-c2ccc(OC)cc2)nc2c(Cl)cc(Cl)cn12
CHEMBL2311576,NCc1cn(O)nc1-c1cccc(-c2ccccc2)c1
CHEMBL2332218,C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(-c3nc(C(C)C)no3)ncn1-2
CHEMBL273481,NCc1cc(O)no1
CHEMBL2332220,C#Cc1ccc2c(c1)C(c1ccccc1F)=NCc1c(-c3nc(C(C)C)no3)ncn1-2
CHEMBL223707,Cc1ccc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1
CHEMBL1160281,NCCCC(N)=O.O=C(O)C(F)(F)F
CHEMBL3962969,Cc1ccc(-c2nc3ccc(F)cn3c2CC(=O)N(C)C)cc1
CHEMBL484188,CCCN(CCC)C(=O)Cc1c(-c2ccc(N)cc2)nc2c(Cl)cc(Cl)cn12
CHEMBL1080397,COCc1nc2n(n1)Cc1c(C)ncn1-c1ccc(Br)cc1-2
CHEMBL3971200,Cc1ccc2nc(-c3ccc(F)cc3)c(CC(=O)N(C)C)n2c1
CHEMBL1078580,Cc1ncn2c1Cn1ncnc1-c1cc(Br)ccc1-2
CHEMBL1080575,Cc1ncn2c1Cn1nc(CN3CCCC3=O)nc1-c1cc(Br)ccc1-2
CHEMBL32991,Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O
CHEMBL79325,NC1=NC(CC(=O)O)CS1
CHEMBL1788265,O=C(O)C[C@H]1CCNC1
CHEMBL3322880,Cc1cc(C(=O)O)cnc1N
CHEMBL3322872,CCCCc1nc(N)ccc1C(=O)O
CHEMBL33086,NC/C=C/C(=O)O
CHEMBL3322874,Nc1ccc(C(=O)O)c(Cl)n1
CHEMBL3322882,NC1=NCC(C(=O)O)CC1
CHEMBL4458674,O=C(O)CC1CNC=N1
CHEMBL4526098,NC1=NC(CC(=O)O)CN1
CHEMBL4455221,C[C@@H](C(=O)O)[C@H]1CSC(N)=N1
CHEMBL784,O=C(O)Cc1c[nH]cn1
CHEMBL3322871,CCc1nc(N)ccc1C(=O)O
CHEMBL2315214,NCc1cnn(O)c1Cl
CHEMBL1078209,Cc1cc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccc(O)cc2-3)on1
CHEMBL521186,CCCCN(C)C(=O)Cc1c(-c2ccc(OC)cc2)nc2c(Cl)cc(Cl)cn12
CHEMBL484741,CN(C(=O)Cc1c(-c2ccc(O)cc2)nc2c(Cl)cc(Cl)cn12)c1ccccc1
CHEMBL2315218,NCc1cn(O)nc1I
CHEMBL81327,Cc1c(O)noc1CN
CHEMBL2315219,Cc1nn(O)cc1CN
CHEMBL485606,COc1ccc(-c2nc3c(Cl)cc(Cl)cn3c2CC(=O)N(C)c2ccccc2)cc1
CHEMBL484932,CCCN(CCC)C(=O)Cc1c(-c2ccc(OC(=O)CN)cc2)nc2c(Cl)cc(Cl)cn12.Cl
CHEMBL1079272,Cc1nc2n(n1)Cc1c(C)ncn1-c1ccc(Br)cc1-2
CHEMBL254600,COc1ccc2c(c1)CCc1cc(O)cc(OC)c1-2
CHEMBL1077468,Cc1cc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccccc2-3)on1
CHEMBL3322876,CCc1cc(N)ncc1C(=O)O
CHEMBL30014,CCc1cccc(CC)c1O
CHEMBL1080576,Cc1cc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccc(Br)cc2-3)on1
CHEMBL59874,CC(=O)NCCCCNC(=O)CCCN.Cl
CHEMBL4800521,CN1C(=O)COc2cc(Nc3cc4c(cc3F)ncn4CC3CC3)cnc21
CHEMBL127135,O=C(NCc1ccc(F)cc1)C(=O)c1c[nH]c2ccccc12
CHEMBL1681898,Clc1ccc(-n2nc3c4c(ncc3c2Oc2ccccc2Cl)CCCC4)cc1
CHEMBL4241188,CC(C)(C)OC(=O)NC(c1ccccc1)C(F)(F)C(=O)c1ccc2c(c1)OCO2
CHEMBL4061638,Cl.NCC(Br)CC(=O)O
CHEMBL2315228,On1cc2c(n1)CCNC2
CHEMBL2315225,NCc1cn(O)nc1CCc1ccncc1
CHEMBL2315216,Cc1c(CN)cnn1O
CHEMBL279998,O=C(O)C1CCNCC1
CHEMBL2315227,On1ncc2c1CCNC2
CHEMBL2322944,C/C=C/C=C/C(O)C(F)(F)C(=O)/C=C/CCCC
CHEMBL371300,C[C@H](N)Cn1ncc2ccc(O)cc21
CHEMBL4250786,CCc1ccc(C(O)C(F)(F)C(=O)C23CC4CC(CC(C4)C2)C3)cc1
CHEMBL1834184,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1
CHEMBL4245403,CC(C)CC(=O)C(F)(F)C(NC(=O)OC(C)(C)C)c1ccccc1
CHEMBL2322935,O=C(C12CC3CC(CC(C3)C1)C2)C(F)(F)C(O)/C=C/c1ccccc1
CHEMBL148858,O=C(NCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
CHEMBL4797104,CN1CC[C@]2(O)c3cc(Br)ccc3N(C)[C@]12c1ccccc1
CHEMBL1681892,CC1(C)CCc2ncc3c(OCc4ccccc4Cl)n(-c4ccc(Cl)cc4)nc3c2C1
CHEMBL488414,COc1cc(CCc2ccc(O)cc2)cc(OC)c1
CHEMBL3322875,Cc1cc(N)ncc1C(=O)O
CHEMBL3322877,CCCCc1cc(N)ncc1C(=O)O
CHEMBL61851,Cl.Cl.NCCCC(=O)NCCNC(=O)CCCN
CHEMBL450788,COc1cc(O)cc(CCc2cccc(O)c2)c1
CHEMBL3322886,NC1=NCC(C(=O)O)CN1
CHEMBL3311308,COc1ccc(S(=O)(=O)Nc2c(C)cc(C)cc2C)cc1
CHEMBL2315221,NCc1cn(O)nc1N
CHEMBL3322864,Nc1ccc(C(=O)O)cn1
CHEMBL3322881,CCc1cc(C(=O)O)cnc1N
CHEMBL483172,CCCN(CCC)C(=O)Cc1c(-c2ccc(OC(=O)CCC(=O)OC)cc2)nc2c(Cl)cc(Cl)cn12
CHEMBL2322945,C/C=C/C=C/C(O)C(F)(F)C(=O)C(C)(C)C
CHEMBL2322938,CC(=O)c1ccc(C(O)CC(=O)C23CC4CC(CC(C4)C2)C3)cc1
CHEMBL2322940,CCC/C=C/C(O)C(F)(F)C(=O)c1ccc2ccccc2c1
CHEMBL301742,NC[C@H](CC(=O)O)c1ccc(Cl)cc1
