Code,Number of H-Donors,Number of H-Acceptors,Number of Rotatable bonds,CLogP,Number of Rings,PSA,ID,ROMol,Saltdata,SMILES
P0103580141,0,4,1,3.10E+00,4,4.48E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392441E70>,,O=c1cc(-c2ccc3c(c2)OCCO3)oc2ccc(F)cc12
P0107000013,1,6,5,2.70E+00,3,1.09E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392441ED0>,,COc1ccccc1N1C(=O)CC(Sc2ccccc2C(=O)O)C1=O
P0107070055,1,5,6,2.90E+00,3,9.80E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392441F30>,,O=C(CCSc1nnnn1-c1ccccc1)Nc1ccc(F)cc1
P0107830036,1,4,3,2.00E+00,2,5.54E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392441F90>,,CCOC(=O)c1c[nH]c2ccc(Cl)cc2c1=O
P0108420589,1,4,8,4.60E+00,3,9.29E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444030>,,CCOC(=O)c1c(NC(=O)COc2ccc(-c3ccccc3)cc2)sc(C)c1C
P0109290053,1,4,4,2.10E+00,3,9.24E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444090>,,Cc1nnc(NC(=O)COc2ccc3ccccc3c2)s1
P0109850016,1,4,4,2.90E+00,2,5.94E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924440F0>,,CCOC(=O)c1cnc2ccc(CC)cc2c1O
P0110830363,2,2,3,2.30E+00,3,5.78E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444150>,,O=C(NCc1nc2ccccc2[nH]1)c1ccccc1
P0111070175,0,5,2,4.10E+00,4,9.29E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924441B0>,,CC1(C)CC(=O)c2c(nc3c(c2-c2cccc([N+](=O)[O-])c2)C(=O)CC(C)(C)C3)C1
P0114310331,2,3,3,2.40E+00,3,8.35E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444210>,,O=C(CC1Sc2ccccc2NC1=O)Nc1ccc(F)cc1
P0118670825,1,6,7,3.50E+00,3,1.40E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444270>,,CCOC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3cc([N+](=O)[O-])ccc3Cl)cc12
P0118670832,1,4,6,3.90E+00,4,9.40E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924442D0>,,CCOC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12
P0118673117,1,3,4,4.00E+00,3,8.48E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444330>,,CC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3c(C)cc(C)cc3C)cc12
P0118673128,0,5,7,4.40E+00,4,8.08E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444390>,,O=C(OCCN1C(=O)c2ccccc2C1=O)c1ccccc1C(=O)c1ccc(Cl)cc1
P0119470001,1,3,4,3.10E+00,4,6.65E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924443F0>,,Cc1ccc(NC(=O)CCN2C(=O)c3cccc4cccc(c34)C2=O)cc1
P0125200030,0,4,3,3.60E+00,4,8.15E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444450>,,Brc1c(CSc2nc3ccccc3o2)nc2ncccn12
P0125240101,0,4,1,3.60E+00,4,4.48E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924444B0>,,O=c1cc(-c2ccc3c(c2)OCCO3)oc2ccc(Cl)cc12
P0125240562,0,4,1,4.10E+00,4,4.48E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444510>,,O=c1cc(-c2cc(Br)cc3c2OCOC3)oc2ccc(Cl)cc12
P0125240568,0,4,1,3.60E+00,4,4.48E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444570>,,O=c1cc(-c2cc(Cl)cc3c2OCOC3)oc2ccc(F)cc12
P0125320023,1,4,4,2.40E+00,4,1.08E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924445D0>,,O=C(CN1C(=O)c2ccccc2C1=O)Nc1nc(-c2ccccc2)cs1
P0127480033,0,3,3,4.70E+00,5,8.67E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444630>,,O=C1c2cccc3cccc(c23)N1CSc1nc2ccccc2s1
P0128660121,1,4,2,2.70E+00,3,8.24E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444690>,,Sc1nnc(-c2ccncc2)n1-c1ccccc1
P0129720252,0,5,4,5.00E+00,4,1.01E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924446F0>,,Cc1cc2nnc(SCc3ccccc3[N+](=O)[O-])n2c2ccccc12
P0129720293,1,7,6,2.30E+00,3,1.44E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444750>,,O=C(CSc1nnnn1-c1ccccc1)Nc1cccc([N+](=O)[O-])c1
