Code,Number of H-Donors,Number of H-Acceptors,Number of Rotatable bonds,CLogP,Number of Rings,PSA,ID,ROMol,Saltdata,SMILES
P9959766,1,5,5,1.100000000000000e+000,2,1.158000000000000e+002,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05BED0>,,Cc1ccc(-c2nc(C#N)c(S(=O)(=O)N(C)CCO)o2)cc1
P9958109,0,3,3,1.100000000000000e+000,2,4.410000000000000e+001,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05BF30>,,CCOC(=O)c1cn2c(n1)CCC2
P970443,2,6,3,3.200000000000000e+000,2,1.153000000000000e+002,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05BF90>,,N#Cc1ccc(CSc2nc(O)cc(O)n2)cc1
P9080671,0,4,2,3.000000000000000e+000,3,5.649999999999999e+001,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05C030>,,Fc1ccc(-c2nnnn2-c2ccc(Br)cn2)cc1
P7715530150,2,7,7,3.200000000000000e+000,4,1.425000000000000e+002,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05C090>,,CCc1ccc(NC(=O)c2c(C(=O)Nc3ccc(C(=O)OC)cc3)sc3nc(C)cc(=O)n23)cc1
P7570662,1,3,2,3.800000000000000e+000,4,4.649999999999999e+001,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05C0F0>,,COC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
P7570661,1,4,3,3.900000000000000e+000,4,6.359999999999999e+001,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05C150>,,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(=O)O)[C@@]4(C)CC[C@@H]32)C1
P7570660,0,4,3,4.700000000000000e+000,5,5.259999999999999e+001,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05C1B0>,,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@@H]([C@]5(C)CCC(=O)O5)[C@@]4(C)CC[C@@H]32)C1
P7570655,1,4,2,3.400000000000000e+000,5,6.359999999999999e+001,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05C210>,,C[C@H](C(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H]5CC[C@]4(C)[C@@]3(O5)C(=O)C[C@]12C
P7570645,1,4,6,4.700000000000000e+000,4,5.580000000000000e+001,,<rdkit.Chem.rdchem.Mol object at 0x000001B74D05C270>,,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](OC)[C@]12C
