Code,SMILES
P9959766,Cc1ccc(-c2nc(C#N)c(S(=O)(=O)N(C)CCO)o2)cc1
P9958109,CCOC(=O)c1cn2c(n1)CCC2
P970443,N#Cc1ccc(CSc2nc(O)cc(O)n2)cc1
P9080671,Fc1ccc(-c2nnnn2-c2ccc(Br)cn2)cc1
P7715530150,CCc1ccc(NC(=O)c2c(C(=O)Nc3ccc(C(=O)OC)cc3)sc3nc(C)cc(=O)n23)cc1
P7570662,COC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
P7570661,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(=O)O)[C@@]4(C)CC[C@@H]32)C1
P7570660,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@@H]([C@]5(C)CCC(=O)O5)[C@@]4(C)CC[C@@H]32)C1
P7570655,C[C@H](C(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H]5CC[C@]4(C)[C@@]3(O5)C(=O)C[C@]12C
P7570645,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](OC)[C@]12C
P7570383,C[C@]12CCCC[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
P7569515,C[C@]12CCCC[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
P7569347,CSc1nc2n(n1)C(c1ccc(C(F)(F)F)cc1)C1=C(CC(C)(C)CC1=O)N2
P7566896,Cc1n[nH]c(C)c1CCC(=O)NCCc1nc2ccccc2[nH]1
P7566870,O=C(NCCCc1nnc2ccccn12)c1cc(F)ccc1-n1cnnn1
P7566785,C[C@@H](C(=O)NCCc1nc2ccccc2[nH]1)N1Cc2ccccc2C1=O
P7566561,Cc1noc2nc(-c3ccccc3)cc(C(=O)Nc3n[nH]c(CC(C)C)n3)c12
P7565213,COc1ccc2cnn(CC(=O)NCCCc3nc4ccccc4[nH]3)c(=O)c2c1OC
P7565197,CCOC(=O)c1csc(NC(=O)c2ccccc2-n2cnnn2)n1
P7565081,O=C(NCc1nnc2ccccn12)c1cc(Br)ccc1-n1cnnn1
P7564374,Cc1oc2c(C)c3oc(=O)c(CCC(=O)NCCc4ccccn4)c(C)c3cc2c1C
P7560625,Cn1c(Sc2ncnc3[nH]cnc23)nc2c1c(=O)n(Cc1ccc(Cl)cc1)c(=O)n2C
P7560370,Cn1c(Sc2ncnc3[nH]cnc23)nc2c1c(=O)n(Cc1ccccc1)c(=O)n2C
P7560226,Cn1c(SCCCO)nc2c1c(=O)n(Cc1ccc(Cl)cc1)c(=O)n2C
P7559882,Cn1c(=O)[nH]c(=O)c2c1nc(NCc1cccnc1)n2CCO
P7553701,N#Cc1nc(-c2ccccc2)oc1S(=O)(=O)Cc1ccc(Cl)cc1Cl
P7413180399,Cc1ccc(SC/C(O)=C(\C#N)c2nc3ccccc3n2C)cc1
P7413180397,COc1ccc(N2C(=O)c3sc4nc5ccccc5n4c3C2=O)cc1
P7217970243,Cc1ccc(-c2csc3ncnc(Oc4ccc5c(c4)OCO5)c23)cc1
