Code,SMILES
P0103580141,O=c1cc(-c2ccc3c(c2)OCCO3)oc2ccc(F)cc12
P0107000013,COc1ccccc1N1C(=O)CC(Sc2ccccc2C(=O)O)C1=O
P0107070055,O=C(CCSc1nnnn1-c1ccccc1)Nc1ccc(F)cc1
P0107830036,CCOC(=O)c1c[nH]c2ccc(Cl)cc2c1=O
P0108420589,CCOC(=O)c1c(NC(=O)COc2ccc(-c3ccccc3)cc2)sc(C)c1C
P0109290053,Cc1nnc(NC(=O)COc2ccc3ccccc3c2)s1
P0109850016,CCOC(=O)c1cnc2ccc(CC)cc2c1O
P0110830363,O=C(NCc1nc2ccccc2[nH]1)c1ccccc1
P0111070175,CC1(C)CC(=O)c2c(nc3c(c2-c2cccc([N+](=O)[O-])c2)C(=O)CC(C)(C)C3)C1
P0114310331,O=C(CC1Sc2ccccc2NC1=O)Nc1ccc(F)cc1
P0118670825,CCOC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3cc([N+](=O)[O-])ccc3Cl)cc12
P0118670832,CCOC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12
P0118673117,CC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3c(C)cc(C)cc3C)cc12
P0118673128,O=C(OCCN1C(=O)c2ccccc2C1=O)c1ccccc1C(=O)c1ccc(Cl)cc1
P0119470001,Cc1ccc(NC(=O)CCN2C(=O)c3cccc4cccc(c34)C2=O)cc1
P0125200030,Brc1c(CSc2nc3ccccc3o2)nc2ncccn12
P0125240101,O=c1cc(-c2ccc3c(c2)OCCO3)oc2ccc(Cl)cc12
P0125240562,O=c1cc(-c2cc(Br)cc3c2OCOC3)oc2ccc(Cl)cc12
P0125240568,O=c1cc(-c2cc(Cl)cc3c2OCOC3)oc2ccc(F)cc12
P0125320023,O=C(CN1C(=O)c2ccccc2C1=O)Nc1nc(-c2ccccc2)cs1
P0127480033,O=C1c2cccc3cccc(c23)N1CSc1nc2ccccc2s1
P0128660121,Sc1nnc(-c2ccncc2)n1-c1ccccc1
P0129720252,Cc1cc2nnc(SCc3ccccc3[N+](=O)[O-])n2c2ccccc12
P0129720293,O=C(CSc1nnnn1-c1ccccc1)Nc1cccc([N+](=O)[O-])c1
P0129730184,O=C1c2ccccc2C(=O)N1c1ncc(Cc2ccc(Br)cc2)s1
P0134680930,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc(Br)s1
P1001757,Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(C)c(C)c3C)C(C)C2)c(C)c1C
P1005856,Cn1c(=O)n(C)c2cc(S(=O)(=O)Nc3cc(C(F)(F)F)ccc3Cl)ccc21
P1006703,Cc1ccccc1NC(=O)CSc1nnnn1-c1c(C)cccc1C
P1006799,Cc1ccc(C)c(-n2nnnc2SCC(=O)NC(c2nc3ccccc3[nH]2)C(C)C)c1
P1006825,Cc1ccccc1-n1nnnc1SCC(=O)N(C)Cc1cc(O)nc2ccccc12
P1006901,Cc1ccc2oc(C(=O)Nc3ncc(Cc4ccccc4)s3)cc(=O)c2c1
P1007451,COc1ccccc1NC(=O)CCSc1nnnn1-c1cccc(C)c1C
