Molecule ChEMBL ID,SMILES
CHEMBL445138,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccccc1C
CHEMBL71919,[O-][n+]1nc2c(-c3nc[nH]n3)cnn2c2cc(Cl)ccc21
CHEMBL3138417,CC(=O)C1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL107643,O=C(NC1CCCCC1)C1Cc2c(sc3ccccc23)CN1
CHEMBL84567,CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC
CHEMBL349861,Cc1cc2c(C3CCCCC3)nc(O)nc2c(C#N)c1C
CHEMBL3138293,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@](O)(C#Cc5ccc(C=O)cc5)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL3216636,Cl.Cl.O=C1C2C3C=CC(C4C=CC43)C2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1
CHEMBL71184,O=C(NCCc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccccc12
CHEMBL71999,COc1ccc(CCNC(=O)C(=O)c2c[nH]c3ccccc23)cc1OC
CHEMBL420053,CCCCCn1ncc2c(N)c(C(=O)NCCC)cnc21
CHEMBL85794,C#CCCCCn1ncc2c(N)c(C(=O)OCC=C)c(C)nc21
CHEMBL19732,O=C1C2C=Nc3ccccc3C2=NN1c1ccccc1
CHEMBL165160,Cc1cc2c(c(C#N)c1C)NC(=O)NC2C
CHEMBL55280,CC(C)c1cccc(C(C)C)c1OC(=O)CN1CCCC1
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
CHEMBL164860,Cc1cc2c(c(C#N)c1C)NC=NC2C1CCCCC1
CHEMBL185204,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)c(OC)c1
CHEMBL14018,N#Cc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1
CHEMBL95167,CCCC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C
CHEMBL57116,CC(=O)Oc1cccc(C(C)n2cnc3c(O)ncnc32)c1
CHEMBL451,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
CHEMBL165791,Cc1cc2c(C)ncnc2c(C#N)c1C
CHEMBL323356,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1
CHEMBL306409,O=C(N/C=N/O)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12
CHEMBL71688,O=C(NCCc1ccc(O)cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
CHEMBL1672298,O=P1(O)CCC(CO)C1
CHEMBL2420449,On1cc(C2CCNCC2)c(-c2c[nH]c(-c3ccccc3)n2)n1
CHEMBL315768,CCCCn1ncc2c(N)c(C(=O)OCC)c(C)nc21
CHEMBL279839,COCCN(CCOC)c1nn2c(-c3ccc(N(C)C)cc3)nnc2c2ccccc12
CHEMBL302213,NC[C@@H](CC(=O)O)c1ccc(Cl)cc1
CHEMBL10597,CCOC(=O)c1cc2c3cc(OCc4ccccc4)ccc3nc-2c[nH]1
CHEMBL72827,Cc1nc(-c2cnn3c2n[n+]([O-])c2ccc(Cl)cc23)nn1C
CHEMBL2398123,CCONC(=O)C1=CCC(N)C1
CHEMBL6407,CN(C)N=Nc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2
CHEMBL1204189,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
CHEMBL123000,c1ccc(C2=NCc3n[nH]nc3-c3ccccc32)cc1
CHEMBL290036,O=C(N1CCOCC1)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccc(F)cc21
CHEMBL300633,CC(C)(C)OC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
CHEMBL64,NNC(=O)c1ccncc1
CHEMBL87993,C=CCOC(=O)c1c(C)nc2c(cnn2CCC2CC2)c1N
CHEMBL15093,CN(C)C(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
CHEMBL72406,C/C(=N\C(=O)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12)N(C)C
CHEMBL48211,Cc1cccc2c1N(C(=O)N1CCOCC1)Cc1c(-c3noc(C4CC4)n3)ncn1-2
CHEMBL428336,Brc1ccccc1-c1nnc2c3ccccc3c(N3CCCC3)nn12
CHEMBL281643,O=C(c1ccccc1)c1cn2c(n1)sc1ccccc12
CHEMBL87012,CC1CCc2nc3c(c(N)c2C1=O)c1c(n3C)CCCC1
CHEMBL45734,CN(C)C(=O)N1c2cc(Cl)ccc2-n2cnc(-c3noc(C4CC4)n3)c2C1(C)C
CHEMBL20055,CCCC(=O)c1cn2c(cc(OC)c3cc(CC)ccc32)n1
CHEMBL307081,N#[N+]c1ccc(S(=O)(=O)[O-])cc1
CHEMBL95541,CCSc1ccc(-c2ccccn2)c2c1C(=O)CC(C)C2
CHEMBL98649,COc1nc(CSc2ccc(-c3nccs3)c3c2C(=O)CC(C)C3)ns1
CHEMBL74302,O=C(NCc1ccc([N+](=O)[O-])cc1)C(=O)c1c[nH]c2ccccc12
CHEMBL294916,COC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
CHEMBL105873,Oc1c(-c2ccsc2)cnc2c(-c3cccc(F)c3)cnn12
CHEMBL75306,COc1ccc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1
CHEMBL273464,CCOC(=O)c1[nH]cc2nc3ccc(OCc4ccccc4)cc3c-2c1CC
CHEMBL545618,Cl.NCC1(CC(=O)O)Cc2ccccc21
CHEMBL303169,[N-]=[N+]=C1C=CC(=O)C=C1
CHEMBL72698,NCc1ccc[n+]([O-])c1
CHEMBL371300,C[C@H](N)Cn1ncc2ccc(O)cc21
CHEMBL1907853,CN1C(=O)[C@H](NC(=O)c2ccc(Br)cc2)N=C(c2ccccc2)c2ccccc21
CHEMBL87012,CC1CCc2nc3c(c(N)c2C1=O)c1c(n3C)CCCC1
CHEMBL86838,COC(=O)c1c(C)nc2sc3c(c2c1N)CCCC3
CHEMBL362308,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc2c(c1)OCO2
CHEMBL171651,CN1C(=O)[C@@H](N)N=C(c2ccccc2)c2ccccc21
CHEMBL70704,O=C(NCCc1c[nH]c2ccccc12)C(=O)c1c[nH]c2ccccc12
CHEMBL50122,CN(C)C(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2cccc(Cl)c21
CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
CHEMBL356061,O=C(NCCCc1ccccc1)C(=O)c1c[nH]c2ccccc12
CHEMBL357164,O=C(NCc1cccc(O)c1)C(=O)c1c[nH]c2ccccc12
