Volatile_compounds,Analysis_method
"6,10,14-Trimethylpentadecan-2-one",GC-MS
Diacetone alcohol,GC-MS
1-Pentanol,GC-MS
Tetracosane,GC-MS
Tricosane,GC-MS
Methyl linolenate,GC-MS
Palmitic Acid,GC-MS
Methyl palmitate,GC-MS
3-Methylbutanal,GC-MS
Hexacosane,GC-MS
2-Methylbutyraldehyde,GC-MS
Phytol,GC-MS
Heptacosane,GC-MS
Neophytadiene,GC-MS
"(Z)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one",GC-MS
Caryophyllene,GC-MS
Caryophyllene oxide,GC-MS
"(Z,E)-alpha-Farnesene",GC-MS
Dihydroedulan I,GC-MS
Humulene,GC-MS
Bornyl formate,GC-MS
alpha-Bisabolene,GC-MS
Chrysanthenol,GC-MS
Humulene epoxide II,GC-MS
beta-Bourbonene,GC-MS
alpha-Copaene,GC-MS
Fenchone,GC-MS
"Tetrahydro-2,2,6-trimethyl-6-(4-methyl-3-cyclohexen-1-yl)-2H-pyran-3-ol",GC-MS
(+)-delta-Cadinene,GC-MS
Linalyl acetate,GC-MS
Linalool,GC-MS
Lavandulyl acetate,GC-MS
alpha-TERPINEOL,GC-MS
Geranyl acetate,GC-MS
Eucalyptol,GC-MS
Neryl acetate,GC-MS
Borneol,GC-MS
Cedrelanol,GC-MS
Nerol,GC-MS
4-Carvomenthenol,GC-MS
Myrcene,GC-MS
Limonene,GC-MS
Camphor,GC-MS
(R)-Lavandulol,GC-MS
Bornyl acetate,GC-MS
beta-Elemene,GC-MS
Carvacrol methyl ether,GC-MS
beta-Pinene,GC-MS
p-Cymene,GC-MS
Ocimene,GC-MS
alpha-Pinene,GC-MS
Germacrene D,GC-MS
Copaene,GC-MS
Tricyclene,GC-MS
(-)-gamma-Cadinene,GC-MS
Carvacrol,GC-MS
"2,5-Dimethoxy-p-cymene",GC-MS
Spathulenol,GC-MS
beta-Farnesene,GC-MS
