AUC,ACC,PRE,REC,,,,,,,
RF,ecfp,val,,,,ave,std,,,
0.942687,0.853846,0.843333,0.870435,,,0.9376756,0.004861924,0.9376756¡À0.00486192413556611,,
0.938087,0.861538,0.857416,0.85742,,,0.8579486,0.006175283,0.8579486¡À0.00617528264940156,,
0.937234,0.866667,0.848349,0.89397,,,0.8470772,0.006525823,0.8470772¡À0.00652582310517224,,
0.929862,0.851282,0.846049,0.882726,,,0.8750336,0.013862293,0.8750336¡À0.0138622927865487,,
0.940508,0.85641,0.840239,0.870617,,,,,,,
,,,,,,,,,,
test,ecfp,test,,,,,,,,
0.927676,0.867347,0.854545,0.903846,,,0.9475928,0.022747851,0.9475928¡À0.0227478507270467,,
0.925167,0.846939,0.836364,0.884615,,,0.8857142,0.030950264,0.8857142¡À0.0309502644124408,,
0.95814,0.887755,0.923077,0.872727,,,0.8832008,0.03683609,0.8832008¡À0.0368360898399925,,
0.980127,0.928571,0.891304,0.953488,,,0.905078,0.030992467,0.905078¡À0.0309924667863015,,
0.946854,0.897959,0.910714,0.910714,,,,,,,
,,,,,,,,,,
rf,,,,,,,,,,
MACCS val,,,,,,,,,,
,,,,,,,,,,
0.947626,0.879487,0.869992,0.891043,,,0.946425,0.00195022,0.946425¡À0.00195021985940048,,
0.943807,0.858974,0.861223,0.843362,,,0.8692308,0.008108396,0.8692308¡À0.0081083961546042,,
0.947493,0.874359,0.879519,0.871698,,,0.8657822,0.008970139,0.8657822¡À0.00897013933559566,,
0.944909,0.864103,0.857502,0.886291,,,0.8731118,0.018589456,0.8731118¡À0.0185894560625103,,
0.94829,0.869231,0.860675,0.873165,,,,,,,
,,,,,,,,,,
MACCS test,,,,,,,,,,
0.9875,0.938776,0.92,0.958333,,,0.9638576,0.026055197,0.9638576¡À0.0260551971456752,,
0.932065,0.877551,0.87037,0.903846,,,0.8959186,0.039783054,0.8959186¡À0.0397830544365312,,
0.956448,0.857143,0.93617,0.8,,,0.905712,0.025637725,0.905712¡À0.0256377245577684,,
0.993658,0.938776,0.911111,0.953488,,,0.8981334,0.064973217,0.8981334¡À0.0649732171190561,,
0.949617,0.867347,0.890909,0.875,,,,,,,
,,,,,,,,,,
RF,,,,,,,,,,
rdkit_val,,,,,,,,,,
0.933992,0.85641,0.837634,0.885731,,,0.9368056,0.006639722,0.9368056¡À0.00663972230594022,,
0.927847,0.853846,0.84365,0.859738,,,0.8641026,0.009065604,0.8641026¡À0.00906560391259181,,
0.936562,0.871795,0.859678,0.886076,,,0.8494682,0.010837479,0.8494682¡À0.0108374794671086,,
0.939992,0.874359,0.862244,0.909039,,,0.885571,0.017473276,0.885571¡À0.017473276295532,,
0.945635,0.864103,0.844135,0.887271,,,,,,,
,,,,,,,,,,
rdkit test,,,,,,,,,,
0.973333,0.908163,0.897959,0.916667,,,0.9573098,0.019937974,0.9573098¡À0.0199379738865312,,
0.928094,0.897959,0.903846,0.903846,,,0.8918366,0.024574486,0.8918366¡À0.0245744862163993,,
0.961522,0.857143,0.918367,0.818182,,,0.8999838,0.017148192,0.8999838¡À0.0171481924907554,,
0.976321,0.918367,0.87234,0.953488,,,0.8934366,0.050639265,0.8934366¡À0.0506392653362981,,
0.947279,0.877551,0.907407,0.875,,,,,,,
,,,,,,,,,,
GBDT,ecfp,val,,,,,,,,
0.901423,0.846154,0.828999,0.869202,,,0.918323,0.011030524,0.918323¡À0.0110305244435612,,
0.92701,0.835897,0.816805,0.855071,,,0.8394872,0.010192189,0.8394872¡À0.0101921890043307,,
0.923853,0.846154,0.842165,0.845213,,,0.8209876,0.01550206,0.8209876¡À0.0155020595663931,,
0.912903,0.823077,0.800789,0.877121,,,0.86398,0.013400165,0.86398¡À0.0134001651482361,,
0.926426,0.846154,0.81618,0.873293,,,,,,,
,,,,,,,,,,
,ecfp,test,,,,,,,,
0.963333,0.908163,0.897959,0.916667,,,0.9375392,0.031742432,0.9375392¡À0.031742432329612,,
0.897575,0.836735,0.833333,0.865385,,,0.8632654,0.037213136,0.8632654¡À0.0372131360247964,,
0.909937,0.816327,0.836364,0.836364,,,0.8636542,0.044603429,0.8636542¡À0.0446034290464309,,
0.966596,0.867347,0.826087,0.883721,,,0.8754274,0.029139621,0.8754274¡À0.0291396212106472,,
0.950255,0.887755,0.924528,0.875,,,,,,,
,,,,,,,,,,
GBDT,maccs,val,,,,,,,,
0.921914,0.864103,0.857893,0.870922,,,0.9226828,0.008124917,0.9226828¡À0.00812491742727273,,
0.916566,0.830769,0.84581,0.797318,,,0.8497436,0.017727843,0.8497436¡À0.0177278426155017,,
0.92353,0.846154,0.845342,0.840956,,,0.8457288,0.009319105,0.8457288¡À0.00931910546672802,,
